Type	Time
syn2	7.232733
syn3	7.249215
ctrl	7.288244
syn2	7.290975
syn3	7.281386
syn1	7.296413
syn2	7.322510
syn1	7.281386
syn2	7.265430
syn3	7.292337
syn1	7.305860
syn2	7.219642
syn3	7.204893
syn1	7.301148
syn3	7.311218
ctrl	7.261927
syn1	7.234898
syn2	7.221836
syn3	7.264730
ctrl	7.220374
syn1	7.231287
syn2	7.216709
syn3	7.240650
ctrl	7.268920
syn1	7.283448
syn2	7.275172
syn3	7.280008
ctrl	7.252054
syn1	7.254178
syn2	7.304516
syn3	7.284821
ctrl	7.189922
syn1	7.199678
syn2	7.208600
syn3	7.193686
ctrl	7.268920
syn3	7.270313
ctrl	7.271704
syn1	7.312553
syn2	7.284135
ctrl	7.254885
syn3	7.310550
ctrl	7.290293
syn1	7.249926
syn2	7.349874
ctrl	7.287561
syn1	7.266129
syn2	7.277939
syn3	7.319865
ctrl	7.242798
syn1	7.319865
syn3	7.311218
ctrl	7.249926
syn1	7.262629
ctrl	7.299797
syn1	7.279319
ctrl	7.340836
syn1	7.252054
syn2	7.276556
syn3	7.281386
ctrl	7.176255
syn1	7.204149
syn2	7.216709
syn3	7.218910
syn1	7.244228
syn2	7.243513
syn3	7.215240
ctrl	7.318540
syn1	7.270313
syn3	7.288928
ctrl	7.312553
syn1	7.280008
ctrl	7.239215
syn1	7.257708
syn2	7.260523
ctrl	7.267525
syn1	7.271009
syn2	7.316548
syn3	7.271704
ctrl	7.260523
syn1	7.245655
syn2	7.281386
ctrl	7.264030
syn1	7.296413
syn2	7.281386
syn3	7.283448
ctrl	7.245655
syn1	7.311886
syn2	7.238497
syn3	7.271704
ctrl	7.290293
syn1	7.325808
syn2	7.261927
syn3	7.249215
ctrl	7.260523
syn1	7.281386
syn2	7.287561
syn3	7.250636
ctrl	7.213768
syn1	7.266129
syn3	7.297768
ctrl	7.252054
syn1	7.253470
syn2	7.266129
syn3	7.266129
ctrl	7.220374
syn1	7.337588
syn3	7.335634
ctrl	7.276556
syn1	7.303170
syn2	7.272398
syn3	7.275865
ctrl	7.273093
syn2	7.295735
ctrl	7.168580
syn1	7.191429
syn3	7.197435
syn1	7.217443
syn2	7.183112
syn3	7.162397
syn1	7.211557
syn2	7.241366
syn3	7.195187
ctrl	7.268920
syn1	7.310550
syn2	7.263330
ctrl	7.262629
syn3	7.233455
ctrl	7.266129
syn1	7.280008
syn2	7.284821
syn3	7.273786
ctrl	7.279319
syn1	7.280697
syn2	7.280697
syn3	7.283448
ctrl	7.189168
syn2	7.245655
ctrl	7.188413
syn1	7.248504
ctrl	7.247793
syn2	7.314553
syn3	7.273093
ctrl	7.272398
syn1	7.275865
syn2	7.267525
syn3	7.212294
syn3	7.239215
ctrl	7.200425
ctrl	7.236339
syn1	7.255591
syn2	7.289611
syn3	7.264730
ctrl	7.179308
syn2	7.177782
syn3	7.182352
ctrl	7.321850
syn1	7.232733
syn2	7.257003
syn3	7.218177
syn1	7.210818
syn2	7.254885
syn3	7.190676
ctrl	7.255591
syn1	7.207860
syn2	7.265430
syn3	7.261225
ctrl	7.261225
syn1	7.297768
syn2	7.168580
syn3	7.210818
ctrl	7.263330
ctrl	7.234898
syn1	7.247793
syn2	7.322510
syn3	7.255591
ctrl	7.255591
syn1	7.244228
syn2	7.303843
syn3	7.259116
syn1	7.262629
syn2	7.248504
syn3	7.346010
ctrl	7.226209
syn1	7.239933
syn2	7.208600
syn3	7.271704
ctrl	7.251345
syn2	7.255591
syn3	7.261225
ctrl	7.274480
syn1	7.228388
syn2	7.264730
syn3	7.241366
ctrl	7.253470
syn1	7.238497
syn2	7.225481
syn3	7.227662
ctrl	7.212294
syn1	7.247793
syn2	7.206377
syn3	7.290293
ctrl	7.257708
syn1	7.244942
syn2	7.217443
syn3	7.229839
ctrl	7.178545
syn2	7.267525
ctrl	7.228388
syn1	7.239215
syn2	7.347300
syn3	7.313887
ctrl	7.218910
syn1	7.226936
syn2	7.269617
syn3	7.250636
ctrl	7.232010
syn1	7.250636
syn2	7.244228
syn3	7.234177
ctrl	7.214504
syn1	7.229839
syn2	7.214504
syn3	7.245655
ctrl	7.253470
syn1	7.252762
syn2	7.247793
syn3	7.247793
ctrl	7.242082
syn1	7.259820
syn2	7.266827
syn3	7.265430
ctrl	7.284135
syn2	7.215975
syn3	7.274480
ctrl	7.259820
syn1	7.277248
syn2	7.250636
syn3	7.220374
ctrl	7.268223
ctrl	7.266827
syn1	7.270313
syn2	7.262629
syn3	7.261927
syn1	7.275172
syn2	7.237778
ctrl	7.248504
syn1	7.231287
syn2	7.264730
syn3	7.247081
syn1	7.310550
ctrl	7.255591
syn1	7.238497
syn2	7.209340
ctrl	7.234898
syn1	7.237059
syn2	7.259820
syn3	7.264730
ctrl	7.218177
syn1	7.206377
syn2	7.232010
syn3	7.215975
ctrl	7.207119
syn1	7.183112
syn2	7.177782
syn3	7.255591
ctrl	7.247793
syn1	7.276556
syn2	7.249215
syn3	7.260523
ctrl	7.229839
syn2	7.220374
syn3	7.218910
ctrl	7.301148
syn1	7.270313
syn3	7.277939
ctrl	7.275172
syn3	7.274480
ctrl	7.234177
syn1	7.253470
syn2	7.259116
syn3	7.239215
ctrl	7.258412
syn1	7.260523
syn2	7.239215
syn3	7.258412
ctrl	7.221836
syn2	7.301148
syn3	7.209340
ctrl	7.214504
syn1	7.262629
syn2	7.180831
syn3	7.175490
ctrl	7.269617
syn1	7.247081
syn2	7.258412
ctrl	7.226209
syn1	7.226936
syn2	7.320527
syn3	7.239215
ctrl	7.186901
syn2	7.271704
ctrl	7.255591
syn1	7.263330
syn2	7.233455
ctrl	7.336937
syn1	7.224025
syn3	7.284135
ctrl	7.237059
syn1	7.224025
syn2	7.305860
syn3	7.254178
ctrl	7.232010
syn3	7.343426
ctrl	7.250636
syn1	7.271704
syn2	7.224025
syn3	7.254178
ctrl	7.183112
ctrl	7.268920
syn1	7.236339
syn2	7.214504
syn3	7.281386
ctrl	7.174724
syn1	7.210818
syn2	7.184629
syn3	7.207860
ctrl	7.249926
syn1	7.192934
syn2	7.245655
syn3	7.307202
ctrl	7.316548
syn1	7.253470
syn2	7.225481
syn3	7.252054
ctrl	7.229114
syn1	7.234177
syn2	7.189168
syn3	7.315218
ctrl	7.260523
syn1	7.283448
syn2	7.253470
syn3	7.346010
ctrl	7.266129
syn1	7.249215
syn2	7.216709
syn3	7.221836
ctrl	7.198184
syn1	7.215975
syn2	7.242798
syn3	7.234177
syn1	7.298445
syn2	7.294377
syn3	7.254178
ctrl	7.253470
syn1	7.252054
syn2	7.257708
syn3	7.204893
ctrl	7.244942
syn1	7.244228
syn2	7.180070
syn1	7.347300
ctrl	7.209340
syn1	7.238497
syn2	7.271009
syn3	7.232010
syn3	7.264030
ctrl	7.290293
syn3	7.257708
ctrl	7.253470
syn1	7.268223
syn2	7.265430
syn3	7.259116
ctrl	7.306531
syn1	7.242798
syn2	7.234898
syn3	7.229114
ctrl	7.238497
syn1	7.234898
syn2	7.232733
syn3	7.264730
ctrl	7.268920
syn1	7.224753
syn3	7.255591
ctrl	7.202661
syn2	7.305188
ctrl	7.254885
syn1	7.225481
syn2	7.249215
syn3	7.234177
syn1	7.255591
syn2	7.271704
syn3	7.262629
ctrl	7.323831
syn2	7.270313
syn3	7.274480
ctrl	7.347944
syn1	7.266827
syn2	7.259116
syn3	7.258412
syn1	7.215975
syn2	7.300473
syn3	7.203406
ctrl	7.261225
syn1	7.200425
syn3	7.253470
